QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	AnswerPhrase1	AnswerPhrase2	AnswerPhrase3
Q0	HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US	D0	African immigration to the United States	D0-5	As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .		involuntarily brought to the United States by means of the historic Atlantic slave trade	Atlantic slave trade
Q1	how are glacier caves formed?	D1	Glacier cave	D1-3	A glacier cave is a cave formed within the ice of a glacier .		within the ice of a glacier	formed within the ice of a glacier
Q4	how a water pump works	D4	Pump	D4-4	Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.		Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid	mechanism (typically reciprocating or rotary )
Q11	how big is bmc software in houston, tx	D11	BMC Software	D11-3	Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs.		Employing over 6,000	Employing over 6,000
Q11	how big is bmc software in houston, tx	D11	BMC Software	D11-4	For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.		annual revenue of $2.1 billion	annual revenue of $2.1 billion
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-0	This tablespoon has a capacity of about 15 mL.		about 15 mL	about 15 mL
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-8	In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.		approximately 15 mL	approximately 15 mL
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-9	In Australia one tablespoon (measurement unit) is 20 mL.		20 mL	20 mL
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-13	The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.		in excess of $15 billion	in excess of $15 billion
Q18	how a rocket engine works	D18	Rocket engine	D18-3	A rocket engine, or simply "rocket", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .		a jet engine that uses only stored propellant mass for forming its high speed propulsive jet	stored propellant
Q20	how old was sue lyon when she made lolita	D20	Lolita (1962 film)	D20-3	The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.		fourteen	fourteen
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-2	Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.		Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms	drinking water or eating food that has been contaminated by the feces (waste product) of an infected person
Q26	how did anne frank die	D26	Anne Frank	D26-10	Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.		typhus	typhus
Q28	how are aircraft radial engines built	D28	Radial engine	D28-4	The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.		The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel	cylinders point outward from a central crankshaft
Q30	how deep can be drill for deep underwater	D30	Deepwater drilling	D30-0	Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.		more than 500 feet	more than 500 feet
Q31	how old was monica lewinsky during the affair	D31	Monica Lewinsky	D31-0	Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an "improper relationship" while she worked at the White House in 1995 and 1996.		Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an "improper relationship" while she worked at the White House in 1995 and 1996	NO_ANS
Q32	how long was frank sinatra famous	D32	Frank Sinatra	D32-1	Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.		from the early to mid-1940s	NO_ANS
Q33	how are antibodies used in	D33	antibody	D33-1	An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .		the immune system to identify and neutralize foreign objects such as bacteria and viruses	used
Q33	how are antibodies used in	D33	antibody	D33-2	The antibody recognizes a unique part of the foreign target, called an antigen .		The antibody recognizes a unique part of the foreign target, called an antigen	recognizes
